host,ip,port,protocol,title,domain,country,city,link,as_organization
https://102.38.6.82:2443,102.38.6.82,2443,https,Juniper Web Device Manager,,LY,,https://102.38.6.82:2443,Giga-Communication
50.185.20.169,50.185.20.169,80,http,Juniper Web Device Manager,,US,Denver,http://50.185.20.169,COMCAST-7922
62.72.126.130,62.72.126.130,80,http,Juniper Web Device Manager,,BE,Brussels,http://62.72.126.130,COLT Technology Services Group Limited
129.35.108.82,129.35.108.82,80,http,Juniper Web Device Manager,,US,,http://129.35.108.82,AT&T Global Network Services Nederland B.V.
https://[2001:288:57ff::bb1],2001:288:57ff::bb1,443,https,Juniper Web Device Manager,,CN,Taichung,https://[2001:288:57ff::bb1],Taiwan Academic Network TANet Information Center
222.255.78.89,222.255.78.89,80,http,Juniper Web Device Manager,,VN,Dien Bien Phu,http://222.255.78.89,VNPT Corp
113.193.21.146,113.193.21.146,80,http,Juniper Web Device Manager,,IN,Chennai,http://113.193.21.146,Tikona Infinet Ltd.
178.18.64.2,178.18.64.2,80,http,Juniper Web Device Manager,,SK,Prešov,http://178.18.64.2,PRESNET s.r.o.
200.7.236.101,200.7.236.101,80,http,Juniper Web Device Manager,,EC,Quito,http://200.7.236.101,Otecel S.A.
211.195.20.190,211.195.20.190,80,http,Juniper Web Device Manager,,KR,Gumi,http://211.195.20.190,Korea Telecom
62.59.234.227,62.59.234.227,80,http,Juniper Web Device Manager,,NL,Paterswolde,http://62.59.234.227,T-mobile Netherlands B.V.
84.241.12.122,84.241.12.122,80,http,Juniper Web Device Manager,,IR,Tehran,http://84.241.12.122,Aria Shatel Company Ltd
https://61.219.129.84,61.219.129.84,443,https,Juniper Web Device Manager,,CN,Taipei,https://61.219.129.84,Data Communication Business Group
173.33.240.204,173.33.240.204,80,http,Juniper Web Device Manager,,CA,St. Thomas,http://173.33.240.204,ROGERS-COMMUNICATIONS
121.254.215.38,121.254.215.38,80,http,Juniper Web Device Manager,,KR,,http://121.254.215.38,LG DACOM Corporation
https://175.98.133.82,175.98.133.82,443,https,Juniper Web Device Manager,,CN,Yilan,https://175.98.133.82,"Taiwan Fixed Network, Telco and Network Service Provider."
211.174.55.28,211.174.55.28,80,http,Juniper Web Device Manager,,KR,Gangnam-gu,http://211.174.55.28,LG DACOM Corporation
18.192.82.81,18.192.82.81,80,http,Juniper Web Device Manager,,DE,Frankfurt am Main,http://18.192.82.81,AMAZON-02
https://[2001:288:57ff::671],2001:288:57ff::671,443,https,Juniper Web Device Manager,,CN,Taichung,https://[2001:288:57ff::671],Taiwan Academic Network TANet Information Center
120.133.220.164,120.133.220.164,80,http,Juniper Web Device Manager,,CN,,http://120.133.220.164,China Telecom Group
156.200.104.233,156.200.104.233,80,http,Juniper Web Device Manager,,EG,Cairo,http://156.200.104.233,TE-AS
https://61.78.201.160:7443,61.78.201.160,7443,https,Juniper Web Device Manager,,KR,Geumjeong-gu,https://61.78.201.160:7443,Korea Telecom
https://138.248.241.53:8080,138.248.241.53,8080,https,Juniper Web Device Manager,,GB,Bushey,https://138.248.241.53:8080,Gamma Telecom Holdings Ltd
https://198.248.112.101:9443,198.248.112.101,9443,https,Juniper Web Device Manager,,US,,https://198.248.112.101:9443,KANREN
https://14.225.229.229:9443,14.225.229.229,9443,https,Juniper Web Device Manager,,VN,,https://14.225.229.229:9443,VIETNAM POSTS AND TELECOMMUNICATIONS GROUP
https://61.222.126.194,61.222.126.194,443,https,Juniper Web Device Manager,,CN,New Taipei,https://61.222.126.194,Data Communication Business Group
https://[2001:288:57ff::821],2001:288:57ff::821,443,https,Juniper Web Device Manager,,CN,Taichung,https://[2001:288:57ff::821],Taiwan Academic Network TANet Information Center
81.183.230.18:8089,81.183.230.18,8089,http,Juniper Web Device Manager,,HU,Budapest,http://81.183.230.18:8089,Magyar Telekom plc.
https://99.111-107-213.static.virginmediabusiness.co.uk,213.107.111.99,443,https,Juniper Web Device Manager,virginmediabusiness.co.uk,GB,Ruislip,https://99.111-107-213.static.virginmediabusiness.co.uk,Virgin Media Limited
https://6.29-255-62.static.virginmediabusiness.co.uk,62.255.29.6,443,https,Juniper Web Device Manager,virginmediabusiness.co.uk,GB,Derby,https://6.29-255-62.static.virginmediabusiness.co.uk,Virgin Media Limited
https://4.35.252.102,4.35.252.102,443,https,Juniper Web Device Manager,,US,Lake Mary,https://4.35.252.102,LEVEL3
https://5.154.232.90,5.154.232.90,443,https,Juniper Web Device Manager,,GB,,https://5.154.232.90,essensys Ltd
https://201.148.86.178:8181,201.148.86.178,8181,https,Juniper Web Device Manager,,MX,Cadereyta Jimenez,https://201.148.86.178:8181,"Operbes, S.A. de C.V."
https://ng.kosice.sk,5.178.49.84,443,https,Juniper Web Device Manager,kosice.sk,SK,Nitra,https://ng.kosice.sk,Orange Slovensko a.s.
https://5.178.49.84,5.178.49.84,443,https,Juniper Web Device Manager,,SK,Nitra,https://5.178.49.84,Orange Slovensko a.s.
https://[2001:288:57ff::111],2001:288:57ff::111,443,https,Juniper Web Device Manager,,CN,Taichung,https://[2001:288:57ff::111],Taiwan Academic Network TANet Information Center
https://8.9.47.23,8.9.47.23,443,https,Juniper Web Device Manager,,US,,https://8.9.47.23,VGPE-ASN1
https://61.148.188.174:5000,61.148.188.174,5000,https,Juniper Web Device Manager,,CN,,https://61.148.188.174:5000,China Unicom Beijing Province Network
https://172.85.43.2:33333,172.85.43.2,33333,https,Juniper Web Device Manager,,US,Port Jefferson Station,https://172.85.43.2:33333,LIGHTOWER
https://12.216.150.130,12.216.150.130,443,https,Juniper Web Device Manager,,US,Alameda,https://12.216.150.130,ATT-INTERNET4
14.141.183.142,14.141.183.142,80,http,Juniper Web Device Manager,,IN,Ahmedabad,http://14.141.183.142,TATA Communications formerly VSNL is Leading ISP
13.88.62.52,13.88.62.52,80,http,Juniper Web Device Manager,,US,San Jose,http://13.88.62.52,MICROSOFT-CORP-MSN-AS-BLOCK
https://18.222.83.98,18.222.83.98,443,https,Juniper Web Device Manager,,US,Columbus,https://18.222.83.98,AMAZON-02
20.59.25.34,20.59.25.34,80,http,Juniper Web Device Manager,,US,,http://20.59.25.34,MICROSOFT-CORP-MSN-AS-BLOCK
https://20.230.188.158,20.230.188.158,443,https,Juniper Web Device Manager,,US,,https://20.230.188.158,MICROSOFT-CORP-MSN-AS-BLOCK
https://20.248.157.203,20.248.157.203,443,https,Juniper Web Device Manager,,AU,Sydney,https://20.248.157.203,MICROSOFT-CORP-MSN-AS-BLOCK
20.248.157.203,20.248.157.203,80,http,Juniper Web Device Manager,,AU,Sydney,http://20.248.157.203,MICROSOFT-CORP-MSN-AS-BLOCK
23.111.171.66,23.111.171.66,80,http,Juniper Web Device Manager,,US,Tampa,http://23.111.171.66,HVC-AS
https://23.111.137.102,23.111.137.102,443,https,Juniper Web Device Manager,,US,Tampa,https://23.111.137.102,HVC-AS
https://14.164.117.47,14.164.117.47,443,https,Juniper Web Device Manager,,VN,My Binh,https://14.164.117.47,VNPT Corp
https://24.242.160.154,24.242.160.154,443,https,Juniper Web Device Manager,,US,Lakeway,https://24.242.160.154,TWC-11427-TEXAS
https://bud.da-ext.net:33333,188.142.210.213,33333,https,Juniper Web Device Manager,da-ext.net,HU,Budapest,https://bud.da-ext.net:33333,Vodafone Hungary Ltd.
https://188.142.210.213:33333,188.142.210.213,33333,https,Juniper Web Device Manager,,HU,Budapest,https://188.142.210.213:33333,Vodafone Hungary Ltd.
https://161.202.169.213:8443,161.202.169.213,8443,https,Juniper Web Device Manager,,JP,Tokyo,https://161.202.169.213:8443,SOFTLAYER
36.91.182.210,36.91.182.210,80,http,Juniper Web Device Manager,,ID,,http://36.91.182.210,PT Telekomunikasi Indonesia
https://23.111.171.66,23.111.171.66,443,https,Juniper Web Device Manager,,US,Tampa,https://23.111.171.66,HVC-AS
https://12.207.146.108:8443,12.207.146.108,8443,https,Juniper Web Device Manager,,US,Fremont,https://12.207.146.108:8443,ATT-INTERNET4
https://75.126.25.235:8443,75.126.25.235,8443,https,Juniper Web Device Manager,,US,Dallas,https://75.126.25.235:8443,SOFTLAYER
https://hydvpn02.ftdi.com:8443,14.142.212.102,8443,https,Juniper Web Device Manager,ftdi.com,IN,Chennai,https://hydvpn02.ftdi.com:8443,TATA Communications formerly VSNL is Leading ISP
https://169.48.68.91:8443,169.48.68.91,8443,https,Juniper Web Device Manager,,US,,https://169.48.68.91:8443,SOFTLAYER
https://169.55.170.83:8443,169.55.170.83,8443,https,Juniper Web Device Manager,,,,https://169.55.170.83:8443,SOFTLAYER
https://149.81.121.243:8443,149.81.121.243,8443,https,Juniper Web Device Manager,,DE,Frankfurt am Main,https://149.81.121.243:8443,SOFTLAYER
https://169.46.76.226:8443,169.46.76.226,8443,https,Juniper Web Device Manager,,US,Irving,https://169.46.76.226:8443,SOFTLAYER
https://169.50.35.131:8443,169.50.35.131,8443,https,Juniper Web Device Manager,,US,,https://169.50.35.131:8443,SOFTLAYER
https://169.63.81.171:8443,169.63.81.171,8443,https,Juniper Web Device Manager,,US,Ashburn,https://169.63.81.171:8443,SOFTLAYER
https://31.3.87.198,31.3.87.198,443,https,Juniper Web Device Manager,,DE,Deesbach,https://31.3.87.198,Thueringer Netkom GmbH
https://168.1.54.77:8443,168.1.54.77,8443,https,Juniper Web Device Manager,,AU,Sydney,https://168.1.54.77:8443,SOFTLAYER
https://158.175.80.11:8443,158.175.80.11,8443,https,Juniper Web Device Manager,,US,,https://158.175.80.11:8443,SOFTLAYER
35.230.106.65,35.230.106.65,80,http,Juniper Web Device Manager,,US,The Dalles,http://35.230.106.65,GOOGLE-CLOUD-PLATFORM
https://218.245.0.241:5555,218.245.0.241,5555,https,Juniper Web Device Manager,,CN,,https://218.245.0.241:5555,China Networks Inter-Exchange
https://158.85.94.83:8443,158.85.94.83,8443,https,Juniper Web Device Manager,,CA,Markham,https://158.85.94.83:8443,SOFTLAYER
https://168.1.96.86:8443,168.1.96.86,8443,https,Juniper Web Device Manager,,AU,Melbourne,https://168.1.96.86:8443,SOFTLAYER
https://169.60.88.149:8443,169.60.88.149,8443,https,Juniper Web Device Manager,,,,https://169.60.88.149:8443,SOFTLAYER
https://158.177.182.220:8443,158.177.182.220,8443,https,Juniper Web Device Manager,,US,,https://158.177.182.220:8443,SOFTLAYER
https://141.125.102.90:8443,141.125.102.90,8443,https,Juniper Web Device Manager,,US,,https://141.125.102.90:8443,SOFTLAYER
https://84.45.148.60:8443,84.45.148.60,8443,https,Juniper Web Device Manager,,GB,Evesham,https://84.45.148.60:8443,Cityfibre Limited
https://159.122.156.58:8443,159.122.156.58,8443,https,Juniper Web Device Manager,,IT,Milan,https://159.122.156.58:8443,SOFTLAYER
https://159.8.100.85:8443,159.8.100.85,8443,https,Juniper Web Device Manager,,FR,Clichy-sous-Bois,https://159.8.100.85:8443,SOFTLAYER
https://14.98.160.74:8443,14.98.160.74,8443,https,Juniper Web Device Manager,,IN,Hyderabad,https://14.98.160.74:8443,Tata Teleservices ISP AS
https://158.175.109.139:8443,158.175.109.139,8443,https,Juniper Web Device Manager,,US,,https://158.175.109.139:8443,SOFTLAYER
https://61.177.201.189:8443,61.177.201.189,8443,https,Juniper Web Device Manager,,CN,Wuxi,https://61.177.201.189:8443,Chinanet
https://190.104.17.234:8443,190.104.17.234,8443,https,Juniper Web Device Manager,,BO,La Paz,https://190.104.17.234:8443,Telefonica Celular de Bolivia S.A.
https://169.50.6.154:8443,169.50.6.154,8443,https,Juniper Web Device Manager,,DE,Frankfurt am Main,https://169.50.6.154:8443,SOFTLAYER
https://169.48.237.190:8443,169.48.237.190,8443,https,Juniper Web Device Manager,,,,https://169.48.237.190:8443,SOFTLAYER
https://169.38.65.43:8443,169.38.65.43,8443,https,Juniper Web Device Manager,,IN,Chennai,https://169.38.65.43:8443,SOFTLAYER
https://169.54.124.28:8443,169.54.124.28,8443,https,Juniper Web Device Manager,,CA,Montreal,https://169.54.124.28:8443,SOFTLAYER
https://181.188.172.218:8443,181.188.172.218,8443,https,Juniper Web Device Manager,,BO,La Paz,https://181.188.172.218:8443,Telefonica Celular de Bolivia S.A.
https://67.228.207.211:8443,67.228.207.211,8443,https,Juniper Web Device Manager,,US,Seattle,https://67.228.207.211:8443,SOFTLAYER
https://169.62.102.212:8443,169.62.102.212,8443,https,Juniper Web Device Manager,,AU,Bardia,https://169.62.102.212:8443,SOFTLAYER
https://169.62.49.18:8443,169.62.49.18,8443,https,Juniper Web Device Manager,,,,https://169.62.49.18:8443,SOFTLAYER
https://161.202.29.83:8443,161.202.29.83,8443,https,Juniper Web Device Manager,,US,,https://161.202.29.83:8443,SOFTLAYER
https://168.1.11.41:8443,168.1.11.41,8443,https,Juniper Web Device Manager,,AU,Sydney,https://168.1.11.41:8443,SOFTLAYER
https://183.3.158.84:8443,183.3.158.84,8443,https,Juniper Web Device Manager,,CN,Guangzhou,https://183.3.158.84:8443,Chinanet
https://38.41.224.236,38.41.224.236,443,https,Juniper Web Device Manager,,US,,https://38.41.224.236,Innova Outsourcing S.A
https://38.123.217.117,38.123.217.117,443,https,Juniper Web Device Manager,,MX,Tizayuca,https://38.123.217.117,COMUNICALO DE MEXICO S.A. DE C.V
https://38.123.215.65,38.123.215.65,443,https,Juniper Web Device Manager,,MX,Tizayuca,https://38.123.215.65,COMUNICALO DE MEXICO S.A. DE C.V
https://169.46.78.61:8443,169.46.78.61,8443,https,Juniper Web Device Manager,,US,Irving,https://169.46.78.61:8443,SOFTLAYER
https://cpe-106-4-246-103.wireline.com.au,103.246.4.106,443,https,Juniper Web Device Manager,wireline.com.au,AU,Melbourne,https://cpe-106-4-246-103.wireline.com.au,Wireline
41.33.83.109,41.33.83.109,80,http,Juniper Web Device Manager,,EG,Ismailia,http://41.33.83.109,TE-AS
https://41.33.88.161,41.33.88.161,443,https,Juniper Web Device Manager,,EG,Cairo,https://41.33.88.161,TE-AS
https://42.61.118.170,42.61.118.170,443,https,Juniper Web Device Manager,,SG,,https://42.61.118.170,SingNet
121.66.230.245:8081,121.66.230.245,8081,http,Juniper Web Device Manager,,KR,Gwanak-gu,http://121.66.230.245:8081,LG DACOM Corporation
https://189.203.8.5:8181,189.203.8.5,8181,https,Juniper Web Device Manager,,MX,Monterrey,https://189.203.8.5:8181,TOTAL PLAY TELECOMUNICACIONES SA DE CV
https://50.202.115.66,50.202.115.66,443,https,Juniper Web Device Manager,,US,Swan Point,https://50.202.115.66,COMCAST-7922
https://218.3.93.105:7070,218.3.93.105,7070,https,Juniper Web Device Manager,,CN,,https://218.3.93.105:7070,Chinanet
https://[2001:288:57ff::5b1],2001:288:57ff::5b1,443,https,Juniper Web Device Manager,,CN,Taichung,https://[2001:288:57ff::5b1],Taiwan Academic Network TANet Information Center
https://180.250.73.82,180.250.73.82,443,https,Juniper Web Device Manager,,ID,Tangerang,https://180.250.73.82,PT Telekomunikasi Indonesia
https://217.104.121.99,217.104.121.99,443,https,Juniper Web Device Manager,,NL,Appingedam,https://217.104.121.99,Vodafone Libertel B.V.
https://192.144.35.8,192.144.35.8,443,https,Juniper Web Device Manager,,US,,https://192.144.35.8,Adacta d.o.o.
https://193.215.183.58,193.215.183.58,443,https,Juniper Web Device Manager,,NO,Sofiemyr,https://193.215.183.58,Telenor Norge AS
https://195.158.109.170,195.158.109.170,443,https,Juniper Web Device Manager,,MT,,https://195.158.109.170,GO p.l.c.
https://180.151.198.2,180.151.198.2,443,https,Juniper Web Device Manager,,IN,,https://180.151.198.2,SHYAM SPECTRA PVT LTD
https://185.71.233.158,185.71.233.158,443,https,Juniper Web Device Manager,,CZ,Horovice,https://185.71.233.158,United Networks SE
https://185.57.95.214,185.57.95.214,443,https,Juniper Web Device Manager,,GB,Shepperton,https://185.57.95.214,essensys Ltd
https://180.150.11.248,180.150.11.248,443,https,Juniper Web Device Manager,,AU,Sydney,https://180.150.11.248,Aussie Broadband
https://162.17.157.41,162.17.157.41,443,https,Juniper Web Device Manager,,US,Detroit,https://162.17.157.41,COMCAST-7922
https://163.47.37.107,163.47.37.107,443,https,Juniper Web Device Manager,,BD,,https://163.47.37.107,Bangladesh Research and Education Network BdREN
https://14.200.74.238,14.200.74.238,443,https,Juniper Web Device Manager,,AU,Sydney,https://14.200.74.238,TPG Telecom Limited
https://58.177.151.126,58.177.151.126,443,https,Juniper Web Device Manager,,CN,Central,https://58.177.151.126,Hong Kong Broadband Network Ltd.
https://208.99.41.42,208.99.41.42,443,https,Juniper Web Device Manager,,US,New York,https://208.99.41.42,SINEWAVE-NA1
https://connect.sinewavenet.net,208.99.41.42,443,https,Juniper Web Device Manager,sinewavenet.net,US,New York,https://connect.sinewavenet.net,SINEWAVE-NA1
